Hourly measurement data supplied by UK-air on 20/04/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Cambridge Roadside",,,,,
Latitude,,52.202370,,,,,,
Longitude,,0.124456,,,,,,
Site Type,,Urban Traffic,,,,,,
Zone,,Eastern,,,,,,
Agglomeration,,#N/A,,,,,,
Local Authority,,"Cambridge",,,,,,
Date,Time,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status
2019-01-04,20:00:00,45.43523,V ugm-3,46.16219,V ugm-3,115.82856,V ugm-3
2019-01-04,21:00:00,23.20616,V ugm-3,45.41671,V ugm-3,80.99899,V ugm-3
2019-01-04,22:00:00,25.99788,V ugm-3,42.64811,V ugm-3,82.51097,V ugm-3
2019-01-04,23:00:00,31.05787,V ugm-3,42.07148,V ugm-3,89.69289,V ugm-3
2019-01-04,24:00:00,22.78741,V ugm-3,37.90489,V ugm-3,72.84509,V ugm-3
2019-01-05,01:00:00,13.78562,V ugm-3,33.4313,V ugm-3,54.56895,V ugm-3
2019-01-05,02:00:00,13.92534,V ugm-3,29.90112,V ugm-3,51.253,V ugm-3
2019-01-05,03:00:00,10.05978,V ugm-3,26.36697,V ugm-3,41.79174,V ugm-3
2019-01-05,04:00:00,8.2085,V ugm-3,26.39421,V ugm-3,38.9804,V ugm-3
2019-01-05,05:00:00,2.75945,V ugm-3,23.12546,V ugm-3,27.35656,V ugm-3
2019-01-05,06:00:00,11.7364,V ugm-3,27.20223,V ugm-3,45.1978,V ugm-3
2019-01-05,07:00:00,27.87396,V ugm-3,30.19333,V ugm-3,72.93281,V ugm-3
2019-01-05,08:00:00,36.46668,V ugm-3,36.31898,V ugm-3,92.23378,V ugm-3
2019-01-05,09:00:00,32.13539,V ugm-3,37.06719,V ugm-3,86.34077,V ugm-3
2019-01-05,10:00:00,65.59811,V ugm-3,43.87757,V ugm-3,144.45994,V ugm-3
2019-01-05,11:00:00,59.38061,V ugm-3,43.94968,V ugm-3,134.99868,V ugm-3
2019-01-05,12:00:00,46.31688,V ugm-3,34.83977,V ugm-3,105.858,V ugm-3
2019-01-05,13:00:00,40.34389,V ugm-3,36.32109,V ugm-3,98.18086,V ugm-3
2019-01-05,14:00:00,76.2517,V ugm-3,44.03193,V ugm-3,160.94957,V ugm-3
2019-01-05,15:00:00,85.01907,V ugm-3,51.13327,V ugm-3,181.49402,V ugm-3
2019-01-05,16:00:00,72.51421,V ugm-3,50.73582,V ugm-3,161.92273,V ugm-3
2019-01-05,17:00:00,125.11845,V ugm-3,53.22808,V ugm-3,245.07369,V ugm-3
2019-01-05,18:00:00,152.46846,V ugm-3,50.16425,V ugm-3,283.94596,V ugm-3
2019-01-05,19:00:00,83.13286,V ugm-3,46.6186,V ugm-3,174.0872,V ugm-3
2019-01-05,20:00:00,47.92365,V ugm-3,41.08045,V ugm-3,114.56236,V ugm-3
2019-01-05,21:00:00,39.15628,V ugm-3,40.73716,V ugm-3,100.77595,V ugm-3
2019-01-05,22:00:00,25.4638,V ugm-3,36.32175,V ugm-3,75.3657,V ugm-3
2019-01-05,23:00:00,28.81706,V ugm-3,36.31627,V ugm-3,80.50182,V ugm-3
2019-01-05,24:00:00,20.50378,V ugm-3,33.76292,V ugm-3,65.2016,V ugm-3
2019-01-06,01:00:00,17.48153,V ugm-3,29.92294,V ugm-3,56.72758,V ugm-3
2019-01-06,02:00:00,12.12053,V ugm-3,31.86402,V ugm-3,50.44857,V ugm-3
2019-01-06,03:00:00,19.85902,V ugm-3,29.79592,V ugm-3,60.24599,V ugm-3
2019-01-06,04:00:00,8.07647,V ugm-3,21.28473,V ugm-3,33.66847,V ugm-3
2019-01-06,05:00:00,5.34935,V ugm-3,20.16157,V ugm-3,28.36379,V ugm-3
2019-01-06,06:00:00,5.34935,V ugm-3,25.7369,V ugm-3,33.93911,V ugm-3
2019-01-06,07:00:00,8.98551,V ugm-3,27.30661,V ugm-3,41.08419,V ugm-3
2019-01-06,08:00:00,7.23735,V ugm-3,27.87603,V ugm-3,38.97315,V ugm-3
2019-01-06,09:00:00,4.09068,V ugm-3,20.52175,V ugm-3,26.79404,V ugm-3
2019-01-06,10:00:00,14.71945,V ugm-3,24.68543,V ugm-3,47.25494,V ugm-3
2019-01-06,11:00:00,14.99915,V ugm-3,27.8291,V ugm-3,50.82748,V ugm-3
2019-01-06,12:00:00,24.47414,V ugm-3,29.37741,V ugm-3,66.9039,V ugm-3
2019-01-06,13:00:00,25.59296,V ugm-3,33.39962,V ugm-3,72.64161,V ugm-3
2019-01-06,14:00:00,25.10348,V ugm-3,30.95652,V ugm-3,69.44798,V ugm-3
2019-01-06,15:00:00,34.22884,V ugm-3,37.4254,V ugm-3,89.90888,V ugm-3
2019-01-06,16:00:00,38.28455,V ugm-3,38.51419,V ugm-3,97.21635,V ugm-3
2019-01-06,17:00:00,46.92043,V ugm-3,39.94176,V ugm-3,111.88541,V ugm-3
2019-01-06,18:00:00,32.34083,V ugm-3,34.4202,V ugm-3,84.00878,V ugm-3
2019-01-06,19:00:00,18.77516,V ugm-3,27.12746,V ugm-3,55.91564,V ugm-3
2019-01-06,20:00:00,41.641,V ugm-3,38.07695,V ugm-3,101.9256,V ugm-3
2019-01-06,21:00:00,29.08927,V ugm-3,31.55711,V ugm-3,76.16002,V ugm-3
